coll_yr,coll_mon,coll_day,recorder,crew,lat,lon,Station,site_numbe,tow_number,region,weather,tide_dir,tide_speed,tide_previ,tide_next,temp,spcnd,do,turb,trawl_type,gear_in,DS,TFS,utm_y,utm_x
2017,1,24,BM,AH,38.04702,-121.92477,HB52,2,5,hdlr,clear,flood,1.48,754,1412,9.1,100.3,10.6,145.0,SKT,1025,8,0,594343.3588835702,4211577.622992596
2017,1,6,BM,AH,38.02221,-121.81134,LSR13,1,2,hdlr,clear,flood,1.78,506,1130,8.2,148.7,9.6,53.5,SKT,842,3,9,604331.5133906056,4208945.943611963
2017,1,6,BM,AH,38.02171,-121.81096,LSR13,1,1,hdlr,cloudy,flood,1.78,506,1130,8.2,59.3,9.3,50.4,SKT,823,2,13,604365.5773464579,4208890.890818757
2017,2,9,AH,AH,38.09514,-122.03308,SBM62,2,3,hdlr,rain,flood,4.48,729,1305,11.5,106.0,12.8,79.2,SKT,1031,1,0,584784.1707167944,4216812.493455911
2017,1,24,BM,AH,38.08427,-121.98706,SBM53,1,4,hdlr,clear,flood,1.48,754,1412,9.0,121.9,10.6,142.0,SKT,857,1,0,588832.678997721,4215649.400411974
2017,1,6,BM,AH,38.04266,-121.91184,HB6,2,4,hdlr,clear,flood,1.78,506,1130,8.2,160.0,9.3,67.8,SKT,1014,1,3,595483.5651855685,4211107.049444633
2017,2,9,AH,AH,38.09574,-122.0312,SBM62,2,1,hdlr,cloudy,flood,4.48,729,1305,11.4,110.3,12.9,94.8,SKT,958,0,0,584948.3273058063,4216880.786334686
2017,2,9,AH,AH,38.09349,-122.02573,SBM62,2,2,hdlr,rain,flood,4.48,729,1305,11.6,114.8,12.9,77.7,SKT,1009,0,0,585430.589661975,4216636.14982139
2017,1,24,BM,AH,38.08351,-121.99451,SBM53,1,1,hdlr,cloudy,flood,1.48,754,1412,9.0,122.9,10.7,118.0,SKT,822,0,0,588180.2265197494,4215557.9731033705
2017,1,24,BM,AH,38.08288,-121.99289,SBM53,1,2,hdlr,cloudy,flood,1.48,754,1412,9.0,126.2,11.0,123.0,SKT,833,0,0,588323.0600026324,4215489.60898182
2017,1,24,BM,AH,38.08414,-121.98981,SBM53,1,3,hdlr,cloudy,flood,1.48,754,1412,9.0,127.7,10.9,151.0,SKT,844,0,0,588591.6607000856,4215632.349210617
2017,2,9,AH,AH,38.07937,-121.98227,SBM60,1,2,hdlr,cloudy,flood,4.48,729,1305,11.5,101.8,12.9,100.0,SKT,831,0,0,589258.7196710311,4215110.299174157
2017,2,9,AH,AH,38.07962,-121.98188,SBM60,1,1,hdlr,cloudy,flood,4.48,729,1305,11.5,99.4,13.2,84.6,SKT,821,0,0,589292.6209556502,4215138.413466656
2017,2,9,AH,AH,38.07902,-121.98148,SBM60,1,3,hdlr,cloudy,flood,4.48,729,1305,11.6,110.1,12.8,103.0,SKT,852,0,0,589328.4332054432,4215072.223375761
2017,2,9,AH,AH,38.07826,-121.98073,SBM60,1,4,hdlr,cloudy,flood,4.48,729,1305,11.9,111.5,12.6,115.0,SKT,904,0,0,589395.138308417,4214988.616966942
2017,2,9,AH,AH,38.07772,-121.98037,SBM60,1,5,hdlr,cloudy,flood,4.48,729,1305,11.9,113.3,12.5,114.0,SKT,916,0,0,589427.3706174754,4214929.046273447
2017,1,3,BM,AH,38.073,-121.958,HB4,2,2,hdlr,rain,ebb,-1.37,924,1448,8.1,171.0,10.4,70.8,SKT,959,0,0,591395.2734686149,4214427.097148424
2017,1,3,BM,AH,38.075,-121.93096,HB4,2,1,hdlr,rain,ebb,-1.37,924,1448,8.0,166.0,10.6,80.0,SKT,939,0,2,593764.5016342029,4214675.960882275
2017,1,24,BM,AH,38.04789,-121.93053,HB52,2,1,hdlr,clear,flood,1.48,754,1412,9.1,96.2,10.9,149.0,SKT,932,0,0,593836.8371966456,4211668.325641985
2017,1,3,BM,AH,38.04771,-121.9304,HB5,1,1,hdlr,rain,flood,1.72,254,924,8.1,188.0,10.7,46.8,SKT,808,0,2,593848.4737238794,4211648.484507217
2017,1,3,BM,AH,38.04771,-121.9304,HB5,1,2,hdlr,rain,flood,1.72,254,924,8.1,140.0,10.5,51.2,SKT,828,0,0,593848.4737238794,4211648.484507217
2017,1,24,BM,AH,38.04726,-121.92715,HB52,2,2,hdlr,clear,flood,1.48,754,1412,9.1,97.0,10.8,144.0,SKT,944,0,0,594134.2184696556,4211601.839901292
2017,1,6,BM,AH,38.04152,-121.90814,HB6,2,1,hdlr,clear,flood,1.78,506,1130,8.2,127.2,9.6,59.9,SKT,937,0,1,595809.726931458,4210984.364443219
2017,1,3,BM,AH,38.08965,-121.73767,RV3,3,1,hdlr,rain,ebb,-1.37,924,1448,8.3,85.5,10.6,41.6,SKT,1136,0,0,610696.3064501884,4216514.271152861
2017,1,3,BM,AH,38.08904,-121.73724,RV3,3,2,hdlr,rain,ebb,-1.37,924,1448,8.2,105.4,10.3,29.3,SKT,1203,0,1,610734.9358993728,4216447.098071589
2017,1,3,BM,AH,38.0897,-121.73715,RV3,3,4,hdlr,rain,ebb,-1.37,924,1448,8.3,102.7,10.4,30.5,SKT,1227,0,0,610741.832650373,4216520.439180812
2017,1,3,BM,AH,38.08941,-121.73661,RV3,3,3,hdlr,rain,ebb,-1.37,924,1448,8.3,61.9,10.5,32.4,SKT,1217,0,0,610789.6259630834,4216488.904829822
2017,1,24,BM,AH,38.12889,-121.69178,RV51,3,1,hdlr,cloudy,flood,1.48,754,1412,8.9,77.5,10.9,112.0,SKT,1136,0,0,614659.2936078821,4220924.084789302
2017,1,24,BM,AH,38.12936,-121.69128,RV51,3,2,hdlr,cloudy,flood,1.48,754,1412,8.9,77.9,11.1,124.0,SKT,1147,0,0,614702.3824366241,4220976.854729622
2017,1,24,BM,AH,38.13014,-121.69082,RV51,3,3,hdlr,cloudy,flood,1.48,754,1412,8.9,76.2,11.2,119.0,SKT,1158,0,0,614741.4793993016,4221063.973505036
2017,1,24,BM,AH,38.13056,-121.69035,RV51,3,4,hdlr,cloudy,flood,1.48,754,1412,8.9,76.7,11.2,118.0,SKT,1208,0,0,614782.0158345816,4221111.158728306
2017,2,9,AH,AH,38.13106,-121.68974,RV51,3,5,hdlr,cloudy,flood,1.48,754,1412,9.0,77.2,11.2,126.0,SKT,1220,0,0,614834.6969276218,4221167.394373916
